Name,Type,Price,Category Gender,Size,min_size,max_size,Rating,Review Count,Status,Product Link
sweat hoodie  sleeveless,sweat,129.9,women,s-xl,s,xl,0.0,0,1,https://www.uniqlo.com/my/en/products/E474468-000
airism soft ribbed t-shirt  sleeveless,airism,49.9,women,s-xl,s,xl,5.0,7,1,https://www.uniqlo.com/my/en/products/E476169-000
airism seamless t-shirt,airism,79.9,women,s-xl,s,xl,5.0,7,1,https://www.uniqlo.com/my/en/products/E474415-000
ultra stretch active blouson,ultra,149.9,women,xs-xxl,xs,xxl,0.0,0,1,https://www.uniqlo.com/my/en/products/E476111-000
airism uv protection full-zip hoodie,airism,129.9,women,xs-3xl,xs,3xl,0.0,0,10,https://www.uniqlo.com/my/en/products/E477602-000
linen blend open collar shirt  short sleeve  checked,linen,99.9,women,xs-3xl,xs,3xl,5.0,1,0,https://www.uniqlo.com/my/en/products/E477635-000
linen blend blouse  volume sleeve  print,linen,99.9,women,xs-3xl,xs,3xl,4.7,9,0,https://www.uniqlo.com/my/en/products/E477604-000
linen blend blouse  volume sleeve,linen,99.9,women,xs-3xl,xs,3xl,4.7,27,0,https://www.uniqlo.com/my/en/products/E475655-000
linen blend open collar shirt  short sleeve  stripe,linen,99.9,women,xs-3xl,xs,3xl,4.9,17,0,https://www.uniqlo.com/my/en/products/E475652-000
linen blend open collar shirt  short sleeve,linen,99.9,women,xs-3xl,xs,3xl,4.9,34,0,https://www.uniqlo.com/my/en/products/E475651-000
rayon blouse  short sleeve  print,rayon,99.9,women,xs-xxl,xs,xxl,5.0,17,0,https://www.uniqlo.com/my/en/products/E477742-000
drape blouse  3/4 sleeve,drape,129.9,women,xs-xl,xs,xl,4.0,9,7,https://www.uniqlo.com/my/en/products/E475667-000
linen blend band collar shirt  3/4 sleeve  stripe,linen,129.9,women,xs-3xl,xs,3xl,0.0,0,4,https://www.uniqlo.com/my/en/products/E475654-000
linen blend band collar shirt  3/4 sleeve,linen,129.9,women,xs-3xl,xs,3xl,0.0,0,4,https://www.uniqlo.com/my/en/products/E475653-000
rayon skipper collar blouse  3/4 sleeve  stripe,rayon,129.9,women,xs-3xl,xs,3xl,5.0,22,0,https://www.uniqlo.com/my/en/products/E475660-000
rayon skipper collar blouse  3/4 sleeve,rayon,129.9,women,xs-3xl,xs,3xl,4.8,136,0,https://www.uniqlo.com/my/en/products/E469419-000
oversized shirt  long sleeve  denim,oversized,149.9,women,s-l,s,l,5.0,3,2,https://www.uniqlo.com/my/en/products/E475717-000
frilled blouse  long sleeve,frilled,129.9,women,xs-xxl,xs,xxl,5.0,2,3,https://www.uniqlo.com/my/en/products/E475671-000
cotton shirt  long sleeve  stripe,cotton,129.9,women,xs-3xl,xs,3xl,4.2,6,0,https://www.uniqlo.com/my/en/products/E475666-000
cotton shirt  long sleeve,cotton,129.9,women,xs-3xl,xs,3xl,4.6,53,0,https://www.uniqlo.com/my/en/products/E469421-000
premium linen shirt  long sleeve  stripe,premium,149.9,women,xs-3xl,xs,3xl,5.0,2,0,https://www.uniqlo.com/my/en/products/E475648-000
premium linen shirt  long sleeve,premium,149.9,women,xs-3xl,xs,3xl,5.0,2,6,https://www.uniqlo.com/my/en/products/E475647-000
